日期,收盘价格,成交量,开盘价格,日最高价格,日最低价格
2021/9/14,160.15 ,20925920 ,162.86 ,163.07 ,159.48 
2021/9/13,165.41 ,15458610 ,164.49 ,166.86 ,163.02 
2021/9/12,168.10 ,15064270 ,171.20 ,171.64 ,167.61 
2021/9/11,167.32 ,17295800 ,167.30 ,169.04 ,165.58 
2021/9/10,170.71 ,18993030 ,174.25 ,174.37 ,169.26 
2021/9/9,175.16 ,24608470 ,174.15 ,176.84 ,173.37 
2021/9/8,170.30 ,16440500 ,169.53 ,172.06 ,168.88 
2021/9/7,172.00 ,29374890 ,178.01 ,178.18 ,171.67 
2021/9/6,173.28 ,29550200 ,169.56 ,174.79 ,169.33 
2021/9/5,166.99 ,24629110 ,167.70 ,169.00 ,166.14 
2021/9/4,162.29 ,23769390 ,160.17 ,163.29 ,158.23 
2021/9/3,159.47 ,31718050 ,159.99 ,161.77 ,158.55 
2021/9/2,165.24 ,18816500 ,167.46 ,168.45 ,164.82 
2021/9/1,169.10 ,26055350 ,168.70 ,169.61 ,166.08 
2021/8/31,171.70 ,62786400 ,169.04 ,174.15 ,168.16 
2021/8/30,161.06 ,88699150 ,159.28 ,161.47 ,152.80 
2021/8/29,157.96 ,75948870 ,164.12 ,166.93 ,155.50 
2021/8/28,160.55 ,66662950 ,166.70 ,167.26 ,159.51 
2021/8/27,172.35 ,34339830 ,174.10 ,175.36 ,172.11 
2021/8/26,173.73 ,40557980 ,175.92 ,177.89 ,173.15 
2021/8/25,182.71 ,21044110 ,185.00 ,186.26 ,181.51 
2021/8/24,188.62 ,15376980 ,188.61 ,189.26 ,186.71 
2021/8/23,191.66 ,12885440 ,191.17 ,192.98 ,189.69 
2021/8/22,194.86 ,8985075 ,196.60 ,196.92 ,194.73 
2021/8/21,195.73 ,9983680 ,197.27 ,198.45 ,195.07 
2021/8/20,195.25 ,14657160 ,194.58 ,195.50 ,192.82 
2021/8/19,196.39 ,11967720 ,199.25 ,199.32 ,195.68 
2021/8/18,199.28 ,9881409 ,199.27 ,200.29 ,197.64 
2021/8/17,200.71 ,22327280 ,197.49 ,203.28 ,196.91 
2021/8/16,197.38 ,20115920 ,195.01 ,197.44 ,192.00 
2021/8/15,200.09 ,17889190 ,196.27 ,202.07 ,196.25 
2021/8/14,195.19 ,17250600 ,190.58 ,196.05 ,190.49 
2021/8/13,197.54 ,23363230 ,201.05 ,201.14 ,194.91 
2021/8/12,196.01 ,34535180 ,190.23 ,198.00 ,189.76 
2021/8/11,186.07 ,59265660 ,183.59 ,186.90 ,179.67 
2021/8/10,191.76 ,55736770 ,198.37 ,198.58 ,190.88 
2021/8/9,206.53 ,25539860 ,206.29 ,206.89 ,203.56 
2021/8/8,214.04 ,10563110 ,212.64 ,216.39 ,212.60 
2021/8/7,211.08 ,7650329 ,209.15 ,211.85 ,208.42 
2021/8/6,210.59 ,9986819 ,209.00 ,211.50 ,207.47 
2021/8/5,208.91 ,15865820 ,206.10 ,209.08 ,203.24 
2021/8/4,212.10 ,11150240 ,214.85 ,215.20 ,211.46 
2021/8/3,214.76 ,14283580 ,215.11 ,216.60 ,213.16 
2021/8/2,211.50 ,19484210 ,215.50 ,216.35 ,211.03 
2021/8/1,209.51 ,17375880 ,209.23 ,212.81 ,208.19 
2021/7/31,205.48 ,11259480 ,203.90 ,206.46 ,203.02 
2021/7/30,205.94 ,16911270 ,202.05 ,207.27 ,201.50 
2021/7/29,199.85 ,33992500 ,201.71 ,202.28 ,198.26 
2021/7/28,208.00 ,18340420 ,211.61 ,212.05 ,207.82 
2021/7/27,211.60 ,23719920 ,215.32 ,215.40 ,209.37 
2021/7/26,217.75 ,12998040 ,219.16 ,219.50 ,216.46 
2021/7/25,221.87 ,13327740 ,228.07 ,228.85 ,221.55 
2021/7/24,226.78 ,9348629 ,226.99 ,227.98 ,225.68 
2021/7/23,229.44 ,10273760 ,226.70 ,229.64 ,225.60 
